time,tau_l7,tau_l8,l7_mean_exit_velocity,l8_mean_exit_velocity,mean_exit_velocity_rel_diff,mean_exit_velocity_pass,l7_active_front_Dh,l8_active_front_Dh,active_front_abs_diff_Dh,active_front_pass,l7_interface_proxy,l8_interface_proxy,interface_proxy_rel_diff,interface_proxy_pass,l7_post_tag_count,l8_post_tag_count,l7_detached_proxy_count,l8_detached_proxy_count,morphology_classification_l7,morphology_classification_l8,morphology_change,new_credible_detached_claim
0.03,0.21656982226462365,0.14332522473856252,1.00529637022,0.665301964438,0.3382031566547835,False,0.25781250000107714,0.15234375000053857,0.10546875000053857,False,1.59840798098,1.58460215389,0.008637236083828622,True,1,1,0,0,connected_waviness_not_atomization,connected_waviness_not_atomization,False,False
0.06,0.4222827433271885,0.28209832355040715,0.980098022509,0.654736698181,0.33196814691564414,False,0.39843750000107714,0.29296875000053857,0.10546875000053857,False,1.61067982728,1.5949565242,0.009761904764494704,True,1,1,1,1,connected_waviness_not_atomization,connected_waviness_not_atomization,False,False
0.09,0.620525601867057,0.41944721719241446,0.960140135042,0.649011268103,0.3240452675435655,False,0.6796875000017952,0.43359375000125666,0.24609375000053857,False,1.62755361595,1.61298079846,0.00895381715673546,True,1,1,1,1,connected_waviness_not_atomization,connected_waviness_not_atomization,False,False
0.12,0.8162798515650036,0.5570510763782759,0.947273220342,0.646444434472,0.3175734090333409,False,0.8203125000017952,0.5742187500012567,0.24609375000053857,False,1.64442740461,1.6333060439,0.006763059700186412,True,1,1,1,1,connected_waviness_not_atomization,connected_waviness_not_atomization,False,False
