render_frame,surface_index,source_frame_id,source_time,source_iteration,source_path,source_sha256,output_path
50,50,visual_0050,0.25,1338,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0050.facets,14e77a2abebcde6c872ceb49753ca09cdf2337d41100148e64887ede5e041413,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0050.png
51,51,visual_0051,0.255,1364,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0051.facets,30da7ff0fc9e5b23ceb7fce8199764f0bce30ed84673d30ab7025c0f70e66d18,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0051.png
52,52,visual_0052,0.26,1390,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0052.facets,d30102664daba34ed7e593f9d5b4d16b4e367d531579ee970372818c340f81ae,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0052.png
53,53,visual_0053,0.265,1416,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0053.facets,601563be117ed9cf17c2a0b8c4edeb232ccae1574862a699838b0c0488de78ab,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0053.png
54,54,visual_0054,0.27,1442,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0054.facets,776de57aee16049af679ab22198f4c1fad00050548f3a370496ba34e62754f17,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0054.png
55,55,visual_0055,0.275,1468,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0055.facets,ad06b644874827cb36fb0261bbc786ee0e19762616e8d29e1c5eb9953af786ab,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0055.png
56,56,visual_0056,0.28,1494,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0056.facets,a77078576d8d2bd9c74abb0da969d96b54294f42c79a4d094f4ad43cd8564011,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0056.png
57,57,visual_0057,0.285,1520,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0057.facets,0220140f2d5a1a80a5fd5761c7f748284e754a14bbd1bc438838139f1ede4c0d,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0057.png
58,58,visual_0058,0.29,1545,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0058.facets,02aba171c4a5c84288d863117a72b2b5efc9a1c6dbe9bc48b5c46dd44796fc73,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0058.png
59,59,visual_0059,0.295,1570,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0059.facets,f943754cfa4201d14daec784aeead898660708c49976730576c921254523e4a4,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0059.png
60,60,visual_0060,0.3,1595,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0060.facets,12ad277b49d1cc91d1ea07c1bd457025cef03a522cc617da357443e8b6817ff4,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0060.png
