time,station_kind,station_target,l7_station_id,l8_station_id,l7_xi,l8_xi,fixed_gate_limit_xi,primary_gate_eligible,valid_station_time_pair,l7_Ahat,l8_Ahat,Ahat_abs_diff,Ahat_rel_diff,Ahat_signed_diff_l8_minus_l7,l7_width,l8_width,width_rel_diff,l7_thickness,l8_thickness,thickness_rel_diff,l7_aspect_ratio,l8_aspect_ratio,aspect_rel_diff,centroid_separation_Dh,l7_warp_proxy,l8_warp_proxy,warp_abs_diff,station_slab_half_Dh,station_xi_uncertainty_Dh,l7_quality_flag,l8_quality_flag,ahat_pair_p90_pass,width_pair_p90_pass,thickness_pair_p90_pass,aspect_pair_p90_pass,centroid_pair_pass,warp_pair_pass,pair_all_applicable_pass
0.09,front_relative,0.5,90,91,0.33984375,0.216796875,0.3685546875010682,True,True,0.8563524607239705,1.0748217112222553,0.2184692504982848,0.255116042188503,0.2184692504982848,0.215413367352,0.205621850654,0.045454545455389586,0.0979151669778,0.1077066836756,0.10000000000020423,2.2000000000085786,1.9090909090963109,0.1322314049596061,4.5127291570937816e-07,0.5959241625699588,0.5675289712147964,0.02839519135516244,0.15,0.15,not_stationary|not_for_model_fit|raw_field_extracted|usable_for_shape_trend|usable_for_model_overlay,not_stationary|not_for_model_fit|raw_field_extracted|usable_for_shape_trend|usable_for_model_overlay,False,True,True,True,True,True,False
0.09,front_relative,0.9,91,93,0.61171875,0.390234375,0.3685546875010682,True,True,0.2383970910319851,0.40094481477861565,0.16254772374663057,0.6818360200746828,0.16254772374663057,0.215413367352,0.205621850654,0.045454545455389586,0.0979151669778,0.1077066836756,0.10000000000020423,2.2000000000085786,1.9090909090963109,0.1322314049596061,3.2004903222850677e-07,0.6665626053520379,0.5329823907190604,0.13358021463297753,0.15,0.15,not_stationary|not_for_model_fit|raw_field_extracted|usable_for_shape_trend|usable_for_model_overlay,not_stationary|not_for_model_fit|raw_field_extracted|usable_for_shape_trend|usable_for_model_overlay,False,True,True,True,True,False,False
0.12,fixed,0.5,1,4,0.5,0.5,0.48808593750106816,False,False,0.8956977211756063,0.5688666678955544,0.3268310532800519,0.36488990152959755,-0.3268310532800519,0.215413367352,0.205621850654,0.045454545455389586,0.0979151669778,0.1077066836756,0.10000000000020423,2.2000000000085786,1.9090909090963109,0.1322314049596061,4.1735008844046085e-07,0.587580698994136,0.5292749371817194,0.058305761812416645,0.15,0.15,not_stationary|not_for_model_fit|raw_field_extracted|usable_for_shape_trend|usable_for_model_overlay,not_stationary|not_for_model_fit|raw_field_extracted|usable_for_shape_trend|usable_for_model_overlay,False,True,True,True,True,True,False
0.12,fixed,0.75,2,5,0.75,0.75,0.48808593750106816,False,False,0.3053547189366457,0.0,0.3053547189366457,1.0,-0.3053547189366457,0.215413367352,0.0,1.0,0.0979151669778,0.0,1.0,2.2000000000085786,0.0,1.0,2.9547717285393135e-07,0.6494490275443967,0.0,0.6494490275443967,0.15,0.15,not_stationary|not_for_model_fit|raw_field_extracted|usable_for_shape_trend|usable_for_model_overlay,not_stationary|not_for_model_fit|low_occupancy|active_front_nearby,False,False,False,False,True,False,False
0.12,fixed,1.0,3,6,1.0,1.0,0.48808593750106816,False,False,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.15,0.15,not_stationary|not_for_model_fit|low_occupancy|active_front_nearby,not_stationary|not_for_model_fit|low_occupancy|active_front_nearby,False,False,False,False,True,True,False
0.12,front_relative,0.5,90,91,0.41015625,0.287109375,0.48808593750106816,True,True,0.8956977211756063,1.159866766680006,0.2641690455043997,0.2949310233341633,0.2641690455043997,0.215413367352,0.205621850654,0.045454545455389586,0.0979151669778,0.1077066836756,0.10000000000020423,2.2000000000085786,1.9090909090963109,0.1322314049596061,4.0616947593126624e-07,0.587580698994136,0.5670908274509693,0.020489871543166727,0.15,0.15,not_stationary|not_for_model_fit|raw_field_extracted|usable_for_shape_trend|usable_for_model_overlay,not_stationary|not_for_model_fit|raw_field_extracted|usable_for_shape_trend|usable_for_model_overlay,False,True,True,True,True,True,False
0.12,front_relative,0.9,91,93,0.73828125,0.516796875,0.48808593750106816,True,True,0.3053547189366457,0.33961454312750267,0.03425982419085699,0.11219680609542224,0.03425982419085699,0.215413367352,0.205621850654,0.045454545455389586,0.0979151669778,0.1077066836756,0.10000000000020423,2.2000000000085786,1.9090909090963109,0.1322314049596061,6.135172155850204e-07,0.6494490275443967,0.4989899084511887,0.15045911909320803,0.15,0.15,not_stationary|not_for_model_fit|raw_field_extracted|usable_for_shape_trend|usable_for_model_overlay,not_stationary|not_for_model_fit|raw_field_extracted|usable_for_shape_trend|usable_for_model_overlay,True,True,True,True,True,False,False
0.15,fixed,0.5,1,4,0.5,0.5,0.6076171875016785,True,True,0.9989734933781803,0.9775556016269143,0.02141789175126596,0.02143989995053634,-0.02141789175126596,0.215413367352,0.225204884048,0.04545454544610493,0.0979151669778,0.1077066836756,0.10000000000020423,2.2000000000085786,2.090909090899975,0.04958677686735375,2.2567394116030973e-07,0.5700784126651222,0.540454617716646,0.029623794948476112,0.15,0.15,not_stationary|not_for_model_fit|raw_field_extracted|usable_for_shape_trend|usable_for_model_overlay,not_stationary|not_for_model_fit|raw_field_extracted|usable_for_shape_trend|usable_for_model_overlay,True,True,True,True,True,True,True
0.15,fixed,0.75,2,5,0.75,0.75,0.6076171875016785,False,False,0.751576357305338,0.0902535930645147,0.6613227642408233,0.8799142732641229,-0.6613227642408233,0.215413367352,0.1468727504666,0.3181818181849411,0.0979151669778,0.1077066836756,0.10000000000020423,2.2000000000085786,1.363636363635182,0.38016528925915244,8.071938936548727e-07,0.6120036937154107,0.32722218699421224,0.2847815067211985,0.15,0.15,not_stationary|not_for_model_fit|raw_field_extracted|usable_for_shape_trend|usable_for_model_overlay,not_stationary|not_for_model_fit|raw_field_extracted|usable_for_shape_trend|usable_for_model_overlay|active_front_nearby,False,False,True,False,True,False,False
0.15,fixed,1.0,3,6,1.0,1.0,0.6076171875016785,False,False,0.033598168007882324,0.0,0.033598168007882324,1.0,-0.033598168007882324,0.17624730056,0.0,1.0,0.0587491001866,0.0,1.0,3.0000000000034044,0.0,1.0,5.605715038436556e-07,0.3399405201576187,0.0,0.3399405201576187,0.15,0.15,not_stationary|not_for_model_fit|raw_field_extracted|usable_for_shape_trend|usable_for_model_overlay|active_front_nearby,not_stationary|not_for_model_fit|low_occupancy|active_front_nearby,False,False,False,False,True,False,False
0.15,front_relative,0.5,90,91,0.48046875,0.357421875,0.6076171875016785,True,True,0.9989734933781803,1.2203783185116077,0.2214048251334274,0.2216323321900298,0.2214048251334274,0.215413367352,0.225204884048,0.04545454544610493,0.0979151669778,0.1077066836756,0.10000000000020423,2.2000000000085786,2.090909090899975,0.04958677686735375,2.773393957947092e-07,0.5700784126651222,0.5654408174120984,0.004637595253023763,0.15,0.15,not_stationary|not_for_model_fit|raw_field_extracted|usable_for_shape_trend|usable_for_model_overlay,not_stationary|not_for_model_fit|raw_field_extracted|usable_for_shape_trend|usable_for_model_overlay,False,True,True,True,True,True,False
0.15,front_relative,0.9,91,93,0.86484375,0.643359375,0.6076171875016785,True,True,0.3460855320080851,0.4873114606476268,0.1412259286395417,0.40806654880979665,0.1412259286395417,0.215413367352,0.205621850654,0.045454545455389586,0.0979151669778,0.1077066836756,0.10000000000020423,2.2000000000085786,1.9090909090963109,0.1322314049596061,5.832260941644367e-07,0.6328444722365584,0.5049242063463933,0.12792026589016503,0.15,0.15,not_stationary|not_for_model_fit|raw_field_extracted|usable_for_shape_trend|usable_for_model_overlay,not_stationary|not_for_model_fit|raw_field_extracted|usable_for_shape_trend|usable_for_model_overlay,False,True,True,True,True,False,False
0.18,fixed,0.5,1,4,0.5,0.5,0.6673828125007629,True,True,1.0403735238387244,1.220474946391132,0.18010142255240758,0.17311227018530545,0.18010142255240758,0.215413367352,0.225204884048,0.04545454544610493,0.1370812337688,0.1077066836756,0.2142857142848805,1.571428571436075,2.090909090899975,0.3305785123845397,2.6494448555432944e-07,0.5701351439007086,0.5567735397047238,0.013361604195984866,0.15,0.15,not_stationary|not_for_model_fit|raw_field_extracted|usable_for_shape_trend|usable_for_model_overlay,not_stationary|not_for_model_fit|raw_field_extracted|usable_for_shape_trend|usable_for_model_overlay,True,True,False,False,True,True,False
0.18,fixed,0.75,2,5,0.75,0.75,0.6673828125007629,False,False,0.9636909290625811,0.3908194254076989,0.5728715036548823,0.5944556354931515,-0.5728715036548823,0.215413367352,0.205621850654,0.045454545455389586,0.0979151669778,0.1077066836756,0.10000000000020423,2.2000000000085786,1.9090909090963109,0.1322314049596061,6.645351866481127e-07,0.5781970863697388,0.4726802683009932,0.10551681806874558,0.15,0.15,not_stationary|not_for_model_fit|raw_field_extracted|usable_for_shape_trend|usable_for_model_overlay,not_stationary|not_for_model_fit|raw_field_extracted|usable_for_shape_trend|usable_for_model_overlay,False,True,True,True,True,False,False
0.18,fixed,1.0,3,6,1.0,1.0,0.6673828125007629,False,False,0.36321899118197615,0.0,0.36321899118197615,1.0,-0.36321899118197615,0.215413367352,0.0,1.0,0.0979151669778,0.0,1.0,2.2000000000085786,0.0,1.0,4.780088654833003e-07,0.6177921173833774,0.0,0.6177921173833774,0.15,0.15,not_stationary|not_for_model_fit|raw_field_extracted|usable_for_shape_trend|usable_for_model_overlay,not_stationary|not_for_model_fit|low_occupancy|active_front_nearby,False,False,False,False,True,False,False
0.18,front_relative,0.5,90,91,0.55078125,0.392578125,0.6673828125007629,True,True,1.03406251553818,1.03006203955277,0.004000475985409979,0.003868698386507051,-0.004000475985409979,0.215413367352,0.225204884048,0.04545454544610493,0.1370812337688,0.1077066836756,0.2142857142848805,1.571428571436075,2.090909090899975,0.3305785123845397,3.6989955641524517e-07,0.5701078167134592,0.5684098823969175,0.0016979343165417493,0.15,0.15,not_stationary|not_for_model_fit|raw_field_extracted|usable_for_shape_trend|usable_for_model_overlay,not_stationary|not_for_model_fit|raw_field_extracted|usable_for_shape_trend|usable_for_model_overlay,True,True,False,False,True,True,False
0.18,front_relative,0.9,91,93,0.99140625,0.706640625,0.6673828125007629,True,True,0.36321899118197615,0.631049472848017,0.2678304816660409,0.7373801705535141,0.2678304816660409,0.215413367352,0.205621850654,0.045454545455389586,0.0979151669778,0.1077066836756,0.10000000000020423,2.2000000000085786,1.9090909090963109,0.1322314049596061,6.244431479440985e-07,0.6177921173833774,0.5089821584554256,0.10880995892795176,0.15,0.15,not_stationary|not_for_model_fit|raw_field_extracted|usable_for_shape_trend|usable_for_model_overlay,not_stationary|not_for_model_fit|raw_field_extracted|usable_for_shape_trend|usable_for_model_overlay,False,True,True,True,True,False,False
